Time,Sample,q_0,q_1,q_inf,Cohort
16,m7,4,2.1549900715727817,1.9381096970088507,abx_only
17,m7,3,2.23725675261858,1.8419374382194444,abx_only
18,m7,4,2.1738659321538116,1.797698945349952,abx_only
1,m8,10,1.0345991253676594,1.0042272540462258,abx_only
2,m8,6,1.0145020237813016,1.0014783243097953,abx_only
3,m8,5,1.009903631053537,1.001117915005089,abx_only
4,m8,5,1.1337173141839079,1.0261702254208054,abx_only
5,m8,3,1.4325442706375044,1.1177827915085632,abx_only
6,m8,3,1.5489270331317404,1.1841805130040028,abx_only
7,m8,5,1.6067217702135153,1.1922695738354807,abx_only
8,m8,3,1.946894650302448,1.2891177412599473,abx_only
9,m8,3,2.2198023366023927,1.7480875229664272,abx_only
10,m8,3,2.3602322193449568,2.0867160278745644,abx_only
11,m8,3,2.2089758825073407,1.7128543058313777,abx_only
12,m8,4,2.1269072917055794,1.686582190591911,abx_only
13,m8,5,2.1984546544685872,1.6993679875017753,abx_only
14,m8,3,2.018714182677581,1.4921042182106967,abx_only
15,m8,7,2.2333924332527966,1.7438818810672556,abx_only
16,m8,3,2.2108910542823668,1.719567394352093,abx_only
17,m8,3,2.0301497987451884,1.7703615415176799,abx_only
18,m8,3,2.2342957051902297,1.710266409125697,abx_only
1,c_m1,NA,NA,NA,controls
2,c_m1,NA,NA,NA,controls
3,c_m1,34,2.3644799982081075,NA,controls
4,c_m1,NA,NA,NA,controls
6,c_m1,44,2.5606026460704885,NA,controls
7,c_m1,22,2.728860664563465,NA,controls
8,c_m1,33,2.372189972275805,NA,controls
9,c_m1,24,2.8330098120179446,NA,controls
10,c_m1,NA,NA,NA,controls
1,c_m2,NA,NA,NA,controls
2,c_m2,17,1.3019604181648883,NA,controls
3,c_m2,14,2.341779801648499,NA,controls
4,c_m2,27,3.2836715627335753,NA,controls
5,c_m2,31,2.3761659722739292,NA,controls
6,c_m2,29,2.7691921593299407,NA,controls
7,c_m2,26,2.092737014868614,NA,controls
8,c_m2,23,2.196526506967786,NA,controls
9,c_m2,30,2.387287527687914,NA,controls
10,c_m2,35,2.372616738963651,NA,controls
3,c_m3,27,2.1181418863885266,NA,controls
4,c_m3,24,2.5348877936348546,NA,controls
5,c_m3,12,1.8090528975308175,NA,controls
7,c_m3,NA,NA,NA,controls
8,c_m3,34,2.8095454965632918,NA,controls
9,c_m3,20,2.2547678011360066,NA,controls
10,c_m3,15,2.4668738677944457,NA,controls
1,c_m4,26,1.9931888212498714,1.1824880109251437,controls
3,c_m4,22,2.154463874758627,1.2203655983250121,controls
4,c_m4,31,2.4104881518819883,1.2798361809688361,controls
5,c_m4,23,2.6908994048018746,1.3500135001350013,controls
6,c_m4,33,2.845188502852441,1.3171479270850137,controls
7,c_m4,21,1.8696875048894086,1.16869649101652,controls
8,c_m4,24,2.1207749382274677,1.2170781405487372,controls
9,c_m4,25,1.9602345566223738,1.1706760172877764,controls
