ID,time,frequency,cluster,cluster_orig
1314,11,9.193712422077528e-4,2,1
1314,6,0.00218513549246792,2,1
1314,9,0.00133369490872843,2,1
1314,4,0.00211250361807606,2,1
1314,8,0.00167462568592901,2,1
1314,3,1.0036625378093676e-4,2,1
1314,10,9.653858079200252e-4,2,1
1314,12,8.276875553948987e-4,2,1
1419,7,2.4640509230956613e-4,2,1
1419,2,0,2,1
1419,13,2.3563608973302757e-4,2,1
1419,5,5.861801844860559e-4,2,1
1419,1,6.958121098559756e-6,2,1
1419,19,5.103315205879019e-5,2,1
1419,17,6.290162329075561e-5,2,1
1419,11,1.3670389385768875e-4,2,1
1419,6,3.580050312347157e-4,2,1
1419,9,1.1476625168794316e-4,2,1
1419,4,1.689306273317216e-4,2,1
1419,8,1.9151445285141977e-4,2,1
1419,3,5.2674487799924264e-5,2,1
1419,10,1.081799978875087e-4,2,1
1419,12,4.9174239223690066e-5,2,1
1511,7,2.524833962944321e-5,6,3
1511,2,7.584448621821414e-5,6,3
1511,13,2.504102972720803e-7,6,3
1511,5,1.1588045422514349e-5,6,3
1511,1,1.3626320484679522e-5,6,3
1511,19,2.564480002954281e-7,6,3
1511,17,0,6,3
1511,11,4.531759118725579e-5,6,3
1511,6,1.0193765126273229e-5,6,3
1511,9,1.7276640039045206e-5,6,3
1511,4,7.001042493541451e-5,6,3
1511,8,3.2316408364969864e-5,6,3
1511,3,8.35199085836637e-5,6,3
1511,10,5.678740046588384e-7,6,3
1511,12,1.276638902922723e-5,6,3
1715,7,3.747508187592358e-4,2,1
1715,2,2.5281495406071378e-5,2,1
1715,13,2.3363280735485092e-4,2,1
1715,5,8.944659211982301e-4,2,1
1715,1,4.406810029087845e-5,2,1
1715,19,1.5745907218139285e-4,2,1
1715,17,1.7641046168361912e-4,2,1
1715,11,9.93982524935942e-5,2,1
1715,6,5.498516909111778e-4,2,1
1715,9,2.495857462783495e-4,2,1
1715,4,4.430510473524739e-4,2,1
1715,8,2.5429304942927106e-4,2,1
1715,3,1.0036625378093676e-4,2,1
1715,10,2.3368015291711197e-4,2,1
1715,12,2.099361751472922e-4,2,1
1740,7,6.148438261614411e-5,6,3
1740,2,6.525434869811535e-4,6,3
1740,13,3.7060723996267886e-5,6,3
1740,5,1.2528207598303247e-4,6,3
1740,1,6.357983153808977e-4,6,3
1740,19,1.5386880017725684e-5,6,3
1740,17,2.8019814011336588e-5,6,3
1740,11,2.5037343197378893e-7,6,3
1740,6,6.258971787531761e-5,6,3
1740,9,7.126614016106147e-5,6,3
1740,4,3.253220740779958e-4,6,3
1740,8,2.6488859315549068e-5,6,3
1740,3,7.02089231531423e-4,6,3
1740,10,2.2147086181694695e-5,6,3
1740,12,2.364146116523561e-7,6,3
1751,7,7.597879981082447e-5,2,1
1751,2,0,2,1
1751,13,5.734395807530639e-5,2,1
1751,5,2.1426951913328416e-4,2,1
1751,1,0,2,1
1751,19,8.719232010044556e-6,2,1
1751,17,1.372399053616486e-5,2,1
1751,11,0,2,1
1751,6,8.929738250615347e-5,2,1
1751,9,6.015972870738956e-5,2,1
1751,4,2.2779511396896064e-4,2,1
1751,8,8.449946121660152e-5,2,1
1751,3,2.3727246756722642e-7,2,1
1751,10,1.675228313743573e-5,2,1
1751,12,1.9149583543840845e-5,2,1
1809,7,2.1274063947030857e-5,10,7
1809,2,2.331515687448805e-5,10,7
1809,13,2.504102972720803e-7,10,7
1809,5,7.914853665943763e-5,10,7
1809,1,1.652553760907942e-5,10,7
1809,19,1.2822400014771404e-5,10,7
1809,17,0,10,7
1809,11,4.5067217755282e-5,10,7
1809,6,3.690142975710908e-5,10,7
1809,9,1.6659617180507876e-5,10,7
1809,4,3.4831057181798266e-7,10,7
1809,8,1.0595543726219626e-5,10,7
1809,3,0,10,7
1809,10,8.518110069882575e-7,10,7
1809,12,0,10,7
1848,7,0.00157007267547537,2,1
1848,2,6.404645502871416e-5,2,1
1848,13,8.686733212368466e-4,2,1
1848,5,0.00324596457250279,2,1
1848,1,6.291301159947779e-5,2,1
1848,19,4.505791365190671e-4,2,1
1848,17,5.278018027033403e-4,2,1
1848,11,9.634369662351396e-4,2,1
1848,6,0.00203182126496877,2,1
1848,9,6.241186214105081e-4,2,1
1848,4,0.00172936198907628,2,1
1848,8,0.00111120764828728,2,1
1848,3,6.64362909188234e-6,2,1
1848,10,5.505538475167438e-4,2,1
1848,12,7.194096632581196e-4,2,1
2001,7,1.028636058977316e-4,5,5
2001,2,1.1236220180476168e-4,5,5
2001,13,9.766001593611132e-6,5,5
2001,5,2.3875746417708807e-4,5,5
2001,1,4.2618491728678505e-5,5,5
2001,19,8.975680010339983e-6,5,5
2001,17,0,5,5
2001,11,7.511202959213667e-7,5,5
2001,6,1.4515921539813074e-4,5,5
2001,9,1.4777697461969025e-4,5,5
2001,4,3.61198062975248e-4,5,5
2001,8,1.2105408707205924e-4,5,5
2001,3,3.41672353296806e-5,5,5
2001,10,7.55272426196255e-5,5,5
2001,12,0,5,5
2107,7,2.162473533077312e-4,2,1
2107,2,3.736043210008326e-5,2,1
2107,13,1.016665806924646e-4,2,1
2107,5,4.613353932359486e-4,2,1
2107,1,2.3193736995199182e-5,2,1
2107,19,3.949299204549593e-5,2,1
2107,17,6.690445386380369e-5,2,1
2107,11,2.228323544566721e-5,2,1
2107,6,2.8379442111544663e-4,2,1
2107,9,6.355335442934486e-5,2,1
2107,4,9.787527068085312e-5,2,1
2107,8,1.7747535741417876e-4,2,1
2107,3,2.96590584459033e-5,2,1
2107,10,8.404535268950808e-5,2,1
2107,12,1.0331318529207962e-4,2,1
2122,7,3.296311007177308e-5,6,3
2122,2,8.191204511567127e-4,6,3
2122,13,2.504102972720803e-7,6,3
2122,5,5.531651871502132e-5,6,3
2122,1,7.047996829416152e-4,6,3
2122,19,0,6,3
2122,17,1.8584570517723247e-5,6,3
2122,11,0,6,3
2122,6,2.5892163420733995e-5,6,3
2122,9,1.912770861465719e-5,6,3
2122,4,1.929640567871624e-4,6,3
2122,8,2.27804190113722e-5,6,3
2122,3,5.841648151505114e-4,6,3
2122,10,1.9307716158400503e-5,6,3
2122,12,0,6,3
2125,7,1.096432526500821e-4,5,5
2125,2,3.932677063166659e-5,5,5
2125,13,4.256975053625365e-6,5,5
2125,5,0,5,5
2125,1,1.739530274639939e-5,5,5
2125,19,3.6672064042246214e-5,5,5
2125,17,1.5153572883682032e-5,5,5
2125,11,2.5037343197378893e-7,5,5
2125,6,5.280370335409531e-5,5,5
2125,9,8.391510876107672e-5,5,5
2125,4,0,5,5
2125,8,6.860614562727208e-5,5,5
2125,3,0,5,5
2125,10,3.747968430748333e-5,5,5
2125,12,2.9551826456544513e-5,5,5
2244,7,4.397419152128026e-4,2,1
2244,2,0,2,1
2244,13,1.717814639286471e-4,2,1
2244,5,7.560653032274455e-4,2,1
2244,1,0,2,1
2244,19,1.2489017614387347e-4,2,1
2244,17,9.034960436308532e-5,2,1
2244,11,2.3610214635128295e-4,2,1
2244,6,5.259982805156985e-4,2,1
2244,9,2.196601376392891e-4,2,1
2244,4,2.9989540233528304e-4,2,1
2244,8,2.9270189543681717e-4,2,1
2244,3,1.4236348054033583e-6,2,1
2244,10,2.441858220033005e-4,2,1
2244,12,2.3996083082714143e-4,2,1
2300,7,2.800695451488238e-4,2,1
2300,2,1.455090513371664e-4,2,1
2300,13,1.3947853558054872e-4,2,1
2300,5,6.930963016862355e-4,2,1
2300,1,2.899217124399898e-5,2,1
2300,19,8.514073609808213e-5,2,1
2300,17,1.1350883839286351e-4,2,1
2300,11,9.188704953438051e-5,2,1
2300,6,3.421027576377295e-4,2,1
2300,9,2.0947926047342312e-4,2,1
2300,4,4.646463028051888e-4,2,1
2300,8,2.884636779463293e-4,2,1
2300,3,9.016353767554604e-5,2,1
2300,10,8.546503770115517e-5,2,1
2300,12,2.018980783511121e-4,2,1
2334,7,5.680876416624722e-5,6,3
2334,2,1.1460944584085692e-4,6,3
2334,13,1.9782413484494343e-5,6,3
2334,5,8.352138398868831e-5,6,3
2334,1,1.4380116937023495e-4,6,3
2334,19,4.359616005022278e-6,6,3
2334,17,1.5725405822688902e-5,6,3
2334,11,3.655452106817318e-5,6,3
2334,6,7.319123360664177e-5,6,3
2334,9,1.5734082892701884e-5,6,3
2334,4,1.6405427932626984e-4,6,3
2334,8,3.072707680603692e-5,6,3
2334,3,1.6039618807544504e-4,6,3
2334,10,5.281228243327196e-5,6,3
2334,12,8.747340631137176e-6,6,3
2344,7,2.057272117954632e-5,10,7
2344,2,3.398956604594041e-5,10,7
2344,13,0,10,7
2344,5,3.3452282068767836e-5,10,7
2344,1,9.277494798079677e-6,10,7
2344,19,4.872512005613134e-6,10,7
2344,17,0,10,7
2344,11,0,10,7
2344,6,2.4057285698004815e-5,10,7
2344,9,0,10,7
2344,4,6.966211436359653e-7,10,7
2344,8,1.3509318250930025e-5,10,7
2344,3,3.2506328056710015e-5,10,7
2344,10,2.839370023294192e-7,10,7
2344,12,8.983755242789532e-6,10,7
2402,7,0.03762166251432785,1,6
2402,2,1.2753109904840452e-4,1,6
2402,13,0.03489091877040531,1,6
2402,5,0.01089691690212627,1,6
2402,1,6.0883559612397864e-5,1,6
2402,19,0.04132428721560557,1,6
2402,17,0.04022072751445665,1,6
2402,11,0.03665016371918717,1,6
2402,6,0.03990002770665361,1,6
2402,9,0.0398019850242382,1,6
2402,4,9.338206430440116e-4,1,6
2402,8,0.03975050673187871,1,6
2402,3,1.6846345197273074e-4,1,6
2402,10,0.04132958612206793,1,6
2402,12,0.03820838387680718,1,6
2443,7,2.454699686195868e-4,2,1
2443,2,2.331515687448805e-5,2,1
2443,13,1.8154746552225825e-4,2,1
2443,5,5.221179711125333e-4,2,1
2443,1,5.015645625211824e-5,2,1
2443,19,4.000588804608678e-5,2,1
2443,17,1.0207217961272616e-4,2,1
2443,11,3.38004133164615e-5,2,1
2443,6,3.2171522738518304e-4,2,1
2443,9,1.465429289026156e-4,2,1
2443,4,3.1069303006164053e-4,2,1
2443,8,1.9628244752821855e-4,2,1
2443,3,8.470627092149983e-5,2,1
2443,10,3.123307025623611e-5,2,1
2443,12,1.163159889329592e-4,2,1
2515,7,5.096424110387611e-4,2,1
2515,2,1.8258857793273773e-5,2,1
2515,13,3.1626820545463744e-4,2,1
2515,5,0.00104795286245492,2,1
2515,1,3.1021623231078914e-5,2,1
2515,19,1.8053939220798136e-4,2,1
2515,17,1.4581739944675165e-4,2,1
2515,11,3.6304147636199394e-4,2,1
2515,6,7.215146956376189e-4,2,1
2515,9,2.869156292198579e-4,2,1
2515,4,6.670147450314368e-4,2,1
2515,8,4.950767806076121e-4,2,1
2515,3,2.230361195131928e-5,2,1
2515,10,2.322604679054649e-4,2,1
2515,12,2.794420709730849e-4,2,1
2555,7,0.00151045854023919,2,1
2555,2,0,2,1
2555,13,8.549007548868822e-4,2,1
2555,5,0.00347903733515185,2,1
2555,1,8.987573085639684e-6,2,1
2555,19,3.895445124487553e-4,2,1
2555,17,3.9170556321970536e-4,2,1
2555,11,8.510192952789085e-4,2,1
2555,6,0.0019992012165647,2,1
2555,9,7.789913589033776e-4,2,1
2555,4,0.00173806975337173,2,1
2555,8,0.00122961284942778,2,1
