time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,C9,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
6,5,C5,-0.31441953395639716,-0.18148237379925974,-0.23140512184581785,-0.3170536960053451,-0.3023844576712748,-0.03441406867544935,-0.3589424102951376,-0.3850359911937364,-0.3570170698766777,-0.007144289881675687,0.15102013516809287,2.1490943429123515e-16
6,5,C6,-0.5457945670085543,-1.2047778069115547,0.05419412376149286,-0.9678789057853473,-1.1328426978845165,-1.0913616889700952,-0.8361785920690213,-0.4993324949970997,-0.28125738008628093,-0.01215176213846492,0.30198090996047533,4.1319754288915533e-16
6,5,C7,-0.4001223522105153,-0.3512729773627049,-0.29941826990336434,-0.5078112074721574,-0.5075195947490176,-0.5640059788709563,-0.5545978017620283,-0.5777043600854329,-0.5455963409485061,-0.012064906624950824,0.24007493369453922,3.660960079734165e-16
6,5,C8,-0.46773204771435994,-0.5422017625165051,-0.32626880384065554,-0.6868982555864819,-0.7094304615542844,-1.092785668565758,-0.7251080484773221,-0.7251540076197703,-0.6806762515163718,-0.01619800664964465,0.31510151939562037,4.940492918263547e-16
6,5,C9,-0.512286793451649,-0.6977016481448053,-0.3120609074561549,-0.8104795401419218,-0.8545145217570725,-1.361092027683967,-0.8290983128167676,-0.7896037400057693,-0.7243457145142487,-0.01811071293434097,0.35622044697410626,5.560440665322404e-16
6,5,Enterobacteriaceae,-0.008091536334592139,-0.010329411612207089,-0.005462747904845083,-0.01250198430179311,-0.013099096394660132,-0.020661122081721717,-0.013066215949310934,-0.012767639804630516,-0.011911168281038238,-2.9509398235400637e-4,0.005808511862022347,9.570460331069038e-18
6,5,Lactobacillaceae,0.1821081888459526,0.20139860470744717,0.1185926350542888,0.25469247151869334,0.26221088570597456,0.328044027494494,0.26682820804249946,0.2620120119127361,0.24105753955242448,0.005815889250699915,-0.11725721767107465,-1.869284003355813e-16
6,5,Paenibacillaceae,2.1868199519922253e-16,2.23434069859591e-16,2.73219797501672e-16,3.7091705718503156e-16,3.7409694926761203e-16,6.992041667546255e-16,4.353363048634913e-16,4.864485904539483e-16,5.030525583359132e-16,1.083653277705276e-17,-2.105779452767149e-16,-8.130097084420633e-31
7,6,C1,-0.15876151532855717,0.013941733644083359,-0.19191125775968487,-0.11520128172420974,-0.09090091073007363,-0.17922510663311295,-0.1775543382739059,-0.24491152949272815,-0.2791120909743124,-0.005455618782858011,0.08386652284791409,1.6551288693518927e-16
7,6,C2,-0.24025451033104872,-0.11504953019291307,-0.04512114218526651,-0.12674947004220527,-0.12906238834302114,0.4353938329825114,-0.1266379736328624,-0.07092872330516298,-0.03138003705929506,-0.0011919982920815585,0.02957851296684172,4.3360681132021856e-17
7,6,C3,-0.3302177369926875,-0.44109984876503966,-0.16599144392145063,-0.4875446500340717,-0.52055590109419,-0.8420975392230629,-0.4937841432729045,-0.45034583671375467,-0.4109086938399058,-0.011009534036589332,0.20750011993802986,3.4341717089634565e-16
7,6,C4,-0.3793607975543233,-0.36259917046838314,-0.0805536730780675,-0.36942227522481,-0.3922577365530681,-0.08669530489629855,-0.35149587317571457,-0.25781714189152616,-0.19192577666503605,-0.0063860429342069685,0.12427187057646448,1.98420917320492e-16
7,6,C5,-0.39673559079376586,-0.35034002587825386,-0.11141367578919403,-0.3762174032830456,-0.3962141297977391,-0.009324826620417307,-0.3700834934421843,-0.28581585449200947,-0.22166587016259062,-0.0065446069627848515,0.13184305000372148,2.067559977336228e-16
7,6,C6,-0.685133501136085,-1.3424990691451757,0.18202823934594434,-0.9982784402776665,-1.1897531631060754,-0.8765533103127099,-0.8185555143318531,-0.3598190514868103,-0.10708286361451849,-0.011154844172297096,0.26306023881457447,3.9292415598579774e-16
7,6,C7,-0.46729986022024367,-0.4904925331171863,-0.1683532814726614,-0.5342417395578882,-0.565987561506887,-0.4494903329094829,-0.5323322942450953,-0.4462430043168673,-0.37873971691582725,-0.010629908123003332,0.20588269685539295,3.322718528427589e-16
7,6,C8,-0.5908680080861416,-0.7488505984167305,-0.15203686904490668,-0.7408314920143306,-0.8067209140502168,-0.8831910557559637,-0.7110174228663244,-0.556253128473851,-0.4557414456823494,-0.014390909442106387,0.2732535170962175,4.534905404143242e-16
7,6,C9,-0.548529758837508,-0.7611217689594153,-0.18677313472155987,-0.7767522100338891,-0.8420641540359839,-1.115513856712816,-0.7547631396604269,-0.6276337225803967,-0.534876184742543,-0.015610737538713745,0.30276126230729705,4.885700099642124e-16
7,6,Enterobacteriaceae,-0.009418964672879735,-0.012536495689581862,-0.0029072891569378694,-0.01259837520738047,-0.013746030708697518,-0.016705765654089027,-0.012260096651028092,-0.009857979152359175,-0.008370779016299415,-2.5686164226098603e-4,0.00492421174569923,8.486945741993456e-18
7,6,Lactobacillaceae,0.23725727516049477,0.29376426989021137,0.047561414211394384,0.2832760865932884,0.30975946587465564,0.2607838658295966,0.2673691278897968,0.19680975953031474,0.15306907904497302,0.0052219739069533,-0.10182026496010683,-1.7278291531940254e-16
7,6,Paenibacillaceae,0.005378900689391936,0.007584613260747273,-0.003829673480321043,0.003666243614254624,0.005268193610480204,-0.002635543326729982,0.002237086097389306,-0.003264024383788431,-0.0038482701375566575,1.375637120800367e-5,5.230348019575551e-4,-6.366473805839297e-19
8,7,C1,-0.16618476433209267,-0.026525900451473662,-0.14687297299122867,-0.11617208947226457,-0.10304008589184831,-0.13213369752287354,-0.16088442296239455,-0.191575789546503,-0.21686613741298102,-0.003385970160315853,0.054227227479209654,-0.02769282731742893
8,7,C2,-0.2792890692849349,-0.19141010561444088,0.0029069209964427195,-0.1510605466914754,-0.1715225124781277,0.42385709161491614,-0.1300784578724542,-0.017452209501038273,0.02601933398749959,0.0021899367278882765,-0.01825726267862956,-0.06936209157827865
8,7,C3,-0.25262481273364423,-0.3405385892981998,-0.15762961118801028,-0.4002068735543056,-0.42128943167292343,-0.741706175349974,-0.41404278441956405,-0.4020187956133178,-0.37246963877127615,-0.011032455439493636,0.19842284358947185,0.03461024641764521
8,7,C4,-0.372333157249852,-0.372885608622057,-0.03859965054766049,-0.34451092602800265,-0.3774343895983697,-0.042785364326257416,-0.3163854207887595,-0.19010160044083163,-0.12903267550762487,-0.004376824581027487,0.0885946651370114,-0.024559099376178627
8,7,C5,-0.42487609246502467,-0.4075658815690174,-0.046991123775339615,-0.3712274958327898,-0.4098306757543627,0.051713895309175584,-0.34180255240815244,-0.19418631218521282,-0.1282170467705455,-0.0019245475933968553,0.06276462600134881,-0.07941234103451016
8,7,C6,-0.6910884759377595,-1.2815117479557503,0.2160832765589764,-0.9148873654029506,-1.1054454544226318,-0.6769817183681814,-0.7316820388922256,-0.24531885909026863,-0.015975039416037104,-0.005367779775453675,0.16714838473079627,-0.09059619701376469
8,7,C7,-0.4803271090577879,-0.5211595566573184,-0.0985624076793993,-0.503512247356813,-0.5508675610523818,-0.3280091931109911,-0.47903485175112326,-0.334343126567163,-0.2660620225500055,-0.005591197545333461,0.12854227528668097,-0.07561992508103509
8,7,C8,-0.5101861609816674,-0.6495631868159447,-0.12323713028223768,-0.6376862580066899,-0.6967853541698438,-0.7545708085054469,-0.6115410082665826,-0.4702814895206083,-0.38531583300171746,-0.013310533075332922,0.24367757115475727,0.020339798707451714
8,7,C9,-0.5089951514409111,-0.7015913929387383,-0.1367231242165735,-0.6875443768384716,-0.7535474555128193,-0.9264188775494299,-0.6574860097346608,-0.5130653533392011,-0.42867378150233604,-0.011784140340851228,0.23714563469322686,-0.034003612424822645
8,7,Enterobacteriaceae,-0.023769486550851367,-0.03075120641484734,0.006733317141905069,-0.01983890579442002,-0.024981850491546883,-0.003425509832573284,-0.015267892477837722,0.0011646560202262838,0.0042137038721754,3.5869153713935536e-4,-0.0039458876846221935,-0.01261813363390817
