time,window,target_i,Bacillaceae,Comamonadaceae,Enterobacteriaceae,Enterococcaceae,Lactobacillaceae,Sphingomonadaceae,Weeksellaceae
4,3,Enterococcaceae,0.005519955426547773,-0.2055681496694536,0.12263414069652927,-0.0599759463111552,0.0031623355216797433,-0.1272718464093623,-0.4688257995950644
4,3,Lactobacillaceae,-3.458337901484789e-4,0.010836171935025313,-0.006396204615295132,0.003060208986790051,-1.6189456317803542e-4,0.006732128892082563,0.02431183354468485
4,3,Sphingomonadaceae,0.03899070875668706,-0.0011447408732148281,0.09531402351711342,0.06314218376597927,-0.004443912203944737,0.011143493209787251,-0.4400139762642966
4,3,Weeksellaceae,0.10432246306241118,-0.4152520050256692,0.5356420670040118,0.026998390844131706,-0.004734098001352716,-0.21654694072765374,-2.3041730637855324
5,4,Bacillaceae,-0.022853540803815988,-0.04823844332959611,0.019121020998967602,-0.053155785699013275,0.0033850782905174644,-0.03964993734490299,-0.11159624568788346
5,4,Comamonadaceae,0.11945194350975998,-0.17742936805708456,0.16141508383335687,0.1353505412641457,-0.009737690035584563,-0.0694523782361488,-0.46280237493684623
5,4,Enterobacteriaceae,-0.024605209305309045,0.05672138971834029,-0.0924639562763861,-0.021185274257587407,0.001768584760080988,0.02865803432605496,0.40366361963207004
5,4,Enterococcaceae,-0.00887514967905335,-0.1304908736114265,0.08565481834900573,-0.05783895396226965,0.0033452310653549846,-0.08720032181053194,-0.37100312017786274
5,4,Lactobacillaceae,-7.384798294430678e-4,0.009151787443668586,-0.004989905023451078,0.001822879960821593,-9.252430906060898e-5,0.005637875914111811,0.017555086051050325
5,4,Sphingomonadaceae,0.11012343757734458,-0.1577526868833412,0.10731056431287833,0.12724047144433837,-0.008935238294811285,-0.061201610543200675,-0.2070910867277966
5,4,Weeksellaceae,0.06626287588825783,-0.30356789735160333,0.395013659355156,0.006467268374964254,-0.0021691132617829975,-0.1737565249851013,-1.7494497898858676
6.9,5,Bacillaceae,-0.011414523083486464,-0.037330934453876,0.027322167475436792,-0.030266641820713074,0.002124069700725521,-0.03214810859722295,-0.07038027866129412
6.9,5,Comamonadaceae,0.06746539623076685,-0.14242311397495147,0.05985286727655442,0.06674712182324101,-0.004820600019786969,-0.0741852803103272,-0.393261526709941
6.9,5,Enterobacteriaceae,-0.012123230595775178,0.0741385626162838,-0.045865567887180145,-0.001431467752348827,-3.167846224573118e-4,0.06241257326549551,0.34621969015221743
6.9,5,Enterococcaceae,-0.004024229225934781,-0.09477261637637455,0.0639921407277296,-0.03701759230064063,0.0023119207331174247,-0.06633692289232586,-0.25558897502966943
6.9,5,Lactobacillaceae,-6.878618732233131e-4,0.008040698558937263,-0.004051220407201056,0.0012266697196499836,-1.0801315823384127e-4,0.006017758628114535,0.014346127393878149
6.9,5,Sphingomonadaceae,0.07157650540042523,-0.16605999749890038,0.06320932011725892,0.07199745424420347,-0.003877585594412424,-0.11283711927640451,-0.2476611131475527
6.9,5,Weeksellaceae,0.010574622986244248,-0.22380644539050412,0.13247350122369256,-0.05358777741993468,0.0016974507355743344,-0.13708656774177705,-1.3280800251097584
