time,window,effector_j,target_i,strength
3,2,C8,Lactobacillaceae,0.5336669685370965
3,2,C9,Lactobacillaceae,0.569923325620837
3,2,Enterobacteriaceae,Lactobacillaceae,0.010641696102334938
3,2,Lactobacillaceae,Lactobacillaceae,-0.20417174432696283
3,2,Paenibacillaceae,Lactobacillaceae,-3.694806317334923e-16
3,2,C1,Paenibacillaceae,5.107394659277437e-16
3,2,C2,Paenibacillaceae,1.813477700750425e-16
3,2,C3,Paenibacillaceae,7.232290575679258e-16
3,2,C4,Paenibacillaceae,5.906068853538176e-16
3,2,C5,Paenibacillaceae,5.624000865586853e-16
3,2,C6,Paenibacillaceae,8.048066341489808e-16
3,2,C7,Paenibacillaceae,8.17439007592917e-16
3,2,C8,Paenibacillaceae,1.0285040374045771e-15
3,2,C9,Paenibacillaceae,1.0981900454208802e-15
3,2,Enterobacteriaceae,Paenibacillaceae,2.1297284578980224e-17
3,2,Lactobacillaceae,Paenibacillaceae,-4.106955101601826e-16
3,2,Paenibacillaceae,Paenibacillaceae,-1.4946838204187586e-30
4,3,C1,C1,-0.2699634690290732
4,3,C2,C1,-0.10416146701367673
4,3,C3,C1,-0.38460918884056094
4,3,C4,C1,-0.35272317192565605
4,3,C5,C1,-0.31874807231066615
4,3,C6,C1,-0.7187325843106088
4,3,C7,C1,-0.4564053991552935
4,3,C8,C1,-0.5879934308934679
4,3,C9,C1,-0.6330995675917892
4,3,Enterobacteriaceae,C1,-0.01240839570524416
4,3,Lactobacillaceae,C1,0.2223601001668866
4,3,Paenibacillaceae,C1,3.710077540592351e-16
4,3,C1,C2,-0.13277566851343311
4,3,C2,C2,-0.02623196391679517
4,3,C3,C2,-0.18163435512573528
4,3,C4,C2,-0.13619564443284343
4,3,C5,C2,-0.1246331717864
4,3,C6,C2,-0.01879110326205884
4,3,C7,C2,-0.1923310375035728
4,3,C8,C2,-0.24040105986776458
4,3,C9,C2,-0.2546539088280024
4,3,Enterobacteriaceae,C2,-0.00409725502803998
4,3,Lactobacillaceae,C2,0.0869919025985033
4,3,Paenibacillaceae,C2,1.2893879796854514e-16
4,3,C1,C3,-0.3948500935147491
4,3,C2,C3,-0.16513469270048609
4,3,C3,C3,-0.5660838549290288
4,3,C4,C3,-0.5193900182600737
4,3,C5,C3,-0.4765629107367939
4,3,C6,C3,-1.1192144597181224
4,3,C7,C3,-0.6761674248986145
4,3,C8,C3,-0.868871197246221
4,3,C9,C3,-0.9356424434960335
4,3,Enterobacteriaceae,C3,-0.018443606298699424
4,3,Lactobacillaceae,C3,0.3283590728685156
4,3,Paenibacillaceae,C3,5.64914244629796e-16
4,3,C1,C4,-0.27242665545108946
4,3,C2,C4,-0.09756876284235459
4,3,C3,C4,-0.38597666261966085
4,3,C4,C4,-0.34929821614661416
4,3,C5,C4,-0.31376808293251535
4,3,C6,C4,-0.6550825104925672
4,3,C7,C4,-0.45321027791589524
4,3,C8,C4,-0.5834493101010455
4,3,C9,C4,-0.6275521607660842
4,3,Enterobacteriaceae,C4,-0.012134220028357023
4,3,Lactobacillaceae,C4,0.22011604334283721
4,3,Paenibacillaceae,C4,3.59886776298084e-16
4,3,C1,C5,-0.3086043381499852
4,3,C2,C5,-0.10371230016312595
4,3,C3,C5,-0.43501142272057947
4,3,C4,C5,-0.37799389901051644
4,3,C5,C5,-0.343731867179153
4,3,C6,C5,-0.6007973159875852
4,3,C7,C5,-0.5008399133617943
4,3,C8,C5,-0.6398206639130458
4,3,C9,C5,-0.6860341805602288
4,3,Enterobacteriaceae,C5,-0.012844718581203163
4,3,Lactobacillaceae,C5,0.2392207708334548
4,3,Paenibacillaceae,C5,3.9053201586338143e-16
4,3,C1,C6,-0.3108498161741974
4,3,C2,C6,-0.10882384224098111
4,3,C3,C6,-0.4380648536739039
4,3,C4,C6,-0.3200726840452136
4,3,C5,C6,-0.32558462169980285
4,3,C6,C6,-0.21753571162469199
4,3,C7,C6,-0.47629113243520443
4,3,C8,C6,-0.5834165512277439
4,3,C9,C6,-0.6172482908693119
4,3,Enterobacteriaceae,C6,-0.010130641231079308
4,3,Lactobacillaceae,C6,0.2089616529100815
4,3,Paenibacillaceae,C6,3.802210448429807e-16
4,3,C1,C7,-0.4341738855539372
4,3,C2,C7,-0.16358115274460794
4,3,C3,C7,-0.6172322909804188
4,3,C4,C7,-0.5531736988872195
4,3,C5,C7,-0.5043647490640625
4,3,C6,C7,-1.0488019285316579
4,3,C7,C7,-0.7248451387612493
4,3,C8,C7,-0.929495166553501
4,3,C9,C7,-0.9990749097625392
4,3,Enterobacteriaceae,C7,-0.019254887296038112
4,3,Lactobacillaceae,C7,0.3497119129439051
4,3,Paenibacillaceae,C7,5.856165666734491e-16
4,3,C1,C8,-0.5220132211716181
4,3,C2,C8,-0.2096800632409557
4,3,C3,C8,-0.7458925572281011
4,3,C4,C8,-0.678260025570599
4,3,C5,C8,-0.6206906830968945
4,3,C6,C8,-1.3937949601963049
4,3,C7,C8,-0.8850819000135439
4,3,C8,C8,-1.1364832843422552
4,3,C9,C8,-1.222960237193645
4,3,Enterobacteriaceae,C8,-0.02390127185435212
4,3,Lactobacillaceae,C8,0.42877577030880304
4,3,Paenibacillaceae,C8,7.298664485315871e-16
4,3,C1,C9,-0.5518674823007567
4,3,C2,C9,-0.22659399322773982
4,3,C3,C9,-0.7899596082660844
4,3,C4,C9,-0.7206478435712251
4,3,C5,C9,-0.6610548187451666
4,3,C6,C9,-1.5145947314406036
4,3,C7,C9,-0.9401498600347585
4,3,C8,C9,-1.207217764526821
4,3,C9,C9,-1.2994184924373295
4,3,Enterobacteriaceae,C9,-0.025487386145593482
4,3,Lactobacillaceae,C9,0.4557048880275839
4,3,Paenibacillaceae,C9,7.80916311142223e-16
4,3,C1,Enterobacteriaceae,-0.00909256057442261
4,3,C2,Enterobacteriaceae,-0.0037080750635179916
4,3,C3,Enterobacteriaceae,-0.013005518536736165
4,3,C4,Enterobacteriaceae,-0.011736410724781156
4,3,C5,Enterobacteriaceae,-0.010820200874419207
4,3,C6,Enterobacteriaceae,-0.023956066885940177
4,3,C7,Enterobacteriaceae,-0.015407358031801563
4,3,C8,Enterobacteriaceae,-0.01973778546687875
4,3,C9,Enterobacteriaceae,-0.021227978316766063
4,3,Enterobacteriaceae,Enterobacteriaceae,-4.2577654641583315e-4
4,3,Lactobacillaceae,Enterobacteriaceae,0.0076989878384524585
4,3,Paenibacillaceae,Enterobacteriaceae,1.3896481051973797e-17
4,3,C1,Lactobacillaceae,0.18791257683255916
4,3,C2,Lactobacillaceae,0.07624112044928048
4,3,C3,Lactobacillaceae,0.2690464045128166
4,3,C4,Lactobacillaceae,0.24408746144325633
4,3,C5,Lactobacillaceae,0.22403090291467243
4,3,C6,Lactobacillaceae,0.5060438279829867
4,3,C7,Lactobacillaceae,0.3192089581006773
4,3,C8,Lactobacillaceae,0.4097931311200776
4,3,C9,Lactobacillaceae,0.44103205056384415
4,3,Enterobacteriaceae,Lactobacillaceae,0.008855974386072746
4,3,Lactobacillaceae,Lactobacillaceae,-0.1596252165424818
4,3,Paenibacillaceae,Lactobacillaceae,-2.844133994559317e-16
4,3,C1,Paenibacillaceae,3.674125655966907e-16
4,3,C2,Paenibacillaceae,1.423439829165908e-16
4,3,C3,Paenibacillaceae,5.186410298147225e-16
4,3,C4,Paenibacillaceae,4.5774506925098465e-16
4,3,C5,Paenibacillaceae,4.2431923545041537e-16
4,3,C6,Paenibacillaceae,8.040374401988486e-16
4,3,C7,Paenibacillaceae,6.072286827553285e-16
4,3,C8,Paenibacillaceae,7.714459033809174e-16
4,3,C9,Paenibacillaceae,8.265558482445099e-16
4,3,Enterobacteriaceae,Paenibacillaceae,1.6685295284674376e-17
4,3,Lactobacillaceae,Paenibacillaceae,-3.0923130276356223e-16
4,3,Paenibacillaceae,Paenibacillaceae,-1.1787576744681782e-30
5,4,C1,C1,-0.17907760446929066
5,4,C2,C1,0.05354927737606534
5,4,C3,C1,-0.3228270170590497
5,4,C4,C1,-0.174318750204151
5,4,C5,C1,-0.12819732437929254
5,4,C6,C1,-0.34521913852434044
5,4,C7,C1,-0.2756429681030133
5,4,C8,C1,-0.41717543936247237
5,4,C9,C1,-0.47167384930241535
5,4,Enterobacteriaceae,C1,-0.00831863563722937
5,4,Lactobacillaceae,C1,0.14222142628527656
5,4,Paenibacillaceae,C1,2.5020881051104263e-16
5,4,C1,C2,-0.05090320569728567
5,4,C2,C2,0.37922528177905857
5,4,C3,C2,-0.25419645333916246
