time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,Enterobacteriaceae,Muribaculaceae,Paenibacillaceae,Ruminococcaceae
5,4,C7,-0.13963727511730692,-0.48066375133298145,-0.5286840520637309,-0.03309870262727174,-0.4237937286418445,-0.2444924890580256,-0.525062901136593,-0.2812103105797525,-5.108131244168417e-4,0.12092218014682904,-0.3982739645235175,0.4626109664317277
5,4,C8,0.027019875778458703,-0.29062256785975443,-0.08340640783526732,-0.14747940656072628,-0.2752193261307217,-0.371971129072864,-0.5156172269981402,-0.5596107317593934,-5.272745900136209e-4,0.060256536798690766,-0.511397877010931,0.2646753053030047
5,4,Enterobacteriaceae,-3.0674955330330805e-5,-1.5020125333276634e-4,-2.007346877024311e-4,-6.882313897955364e-5,-1.0457472256730321e-4,9.109805329089926e-6,-1.1351731881978594e-4,4.1085721806390907e-5,-1.558627000157066e-7,4.437903440764151e-5,-6.789210823326193e-5,1.950964916312746e-4
5,4,Muribaculaceae,-0.008972187261526711,-0.06187716261468931,-0.07812740719065783,-0.021123342428595197,-0.03867261814178637,0.002262875355269454,-0.052191047614921195,0.008886123829723584,-6.409888517049287e-5,0.01668350762397524,-0.03402446403637463,0.0763721113351444
5,4,Paenibacillaceae,-0.09498279950285318,-0.4423519415765629,-0.47688522391421784,-0.09102109558257102,-0.3611967447122937,-0.18336135927599106,-0.47503036775807345,-0.21221914314709556,-4.987150524841799e-4,0.11293307222706589,-0.3645535830877392,0.46298990130254347
5,4,Ruminococcaceae,0.07054606024651223,0.03533372451108173,0.16123643740807403,-0.04260885156800075,0.03057558524632006,-0.09324968221905647,-0.06762957398389104,-0.18335679012288733,-6.630405787832639e-5,-0.01836614028633451,-0.11282509713261663,-0.05014032617033774
6,5,C1,0.22900878615460563,0.36544405175103,0.5682454359641619,0.20100288116549692,0.3638115325998604,0.04507530777747411,0.2132652460286703,-0.11752888450239604,3.332213378766084e-4,-0.13611903715934492,0.0955051648777947,-0.41888182459058465
6,5,C2,-0.3314483555188463,-0.34923842136500705,-0.4715940202570941,-0.13430284785963978,-0.4852991825668378,-0.3169785441479834,-0.3076984032911191,-0.22775110993594658,-3.466375488116221e-4,0.13467467129507413,-0.22113527522660723,0.25216093738694617
6,5,C3,-0.3981675258982173,-0.23611588879384557,-0.36305912425434383,-0.07156579041815038,-0.4762080766810725,-0.37864656509199,-0.1959168705468223,-0.27411614185862127,-1.9531151513083273e-4,0.11422877433212211,-0.13739811372543723,0.06320872436308346
6,5,C4,0.4183037958033236,0.5765947097867965,0.6716161581456916,0.12629622599963417,0.7428746625385328,0.557661350762062,0.6163100853677304,0.5282587655919722,6.186413325215799e-4,-0.1897625499972258,0.4828149416949543,-0.424606412115846
6,5,C5,-0.23929914931979224,5.275413432783162e-5,0.0760995687228488,-0.1917065797569407,-0.27977434744221213,-0.4157587496298677,-0.0794480772113397,-0.4084298471745031,-1.2521542741109482e-4,0.048710015930164025,-0.14146833258720787,-0.1574336539051413
6,5,C6,0.0029361786379879765,0.02415556019619607,0.21125347707632455,-0.12258228354674157,-0.07937843843810148,-0.27778030862136627,-0.1387171289634164,-0.39279473286172595,-1.5291535814884426e-4,-0.0015093116934241134,-0.21247588006034593,-0.09611826808020625
6,5,C7,-0.3764362715796284,-0.5817577594594754,-0.7064690527248516,-0.22482178343986808,-0.6777206142592523,-0.4240509637425005,-0.5640196255166527,-0.35237553892638374,-6.353978296750481e-4,0.1971980141274274,-0.428038406043728,0.5027076629034632
6,5,C8,-0.06955116695953016,-0.2956084864438138,-0.15853844952059654,-0.18695683387586667,-0.32912557531385794,-0.37218131162994755,-0.4571887524109131,-0.4883558101857913,-4.942401096316118e-4,0.0817112889806084,-0.4440961009799408,0.24898585784008198
6,5,Enterobacteriaceae,-2.3936192704054305e-4,-0.00027980759997266657,-3.8959848941176237e-4,-2.159892100944892e-4,-3.571708338300905e-4,-1.7792894609555479e-4,-2.0780621523638454e-4,-7.113212373830427e-5,-3.0835943390306063e-7,1.1686797508320814e-4,-1.4371675433888444e-4,2.6209153295837404e-4
6,5,Muribaculaceae,0.0017017221048988502,-0.045040383964308296,-0.05618349474975776,-0.00932950206505122,-0.02347402121931665,0.007877299341536909,-0.038670171007668834,0.010657645308350932,-4.5760031585333e-5,0.010449992302233676,-0.024005420361423203,0.0609846167593245
6,5,Paenibacillaceae,-0.17489847357822194,-0.423520081727944,-0.481980884236954,-0.1478456604547776,-0.40972686114154305,-0.22981261107416318,-0.43021363403467533,-0.21613084158550996,-4.795536325813295e-4,0.12698573200819024,-0.33091719809359343,0.4128534527788893
6,5,Ruminococcaceae,0.5831487550968992,0.4380978532815476,0.7165404516284861,0.3552536311255313,0.7243204363681007,0.390828584500927,0.24818481941146445,0.11354903808740202,4.1573195519193593e-4,-0.2183124747038107,0.13446845593217024,-0.3346376952839217
7,6,C1,0.07286703700793767,0.25380893792895726,0.40399129601667416,0.07099204251909827,0.21736928047924492,-0.034476224839972106,0.14856913976590297,-0.13830518030093233,2.023835705752107e-4,-0.07508142085011792,0.03574350423787487,-0.31543623086723754
7,6,C2,-0.46232105652483996,-0.36986746401540593,-0.5011876325344653,-0.264983771007436,-0.5394384646769715,-0.3788808124308132,-0.30211367835106895,-0.2548443605412094,-4.056777184597946e-4,0.1722826407775559,-0.25272789838424436,0.25638156518970207
7,6,C3,-0.5870140936176913,-0.30564399142074405,-0.4519415239209997,-0.26984580727339735,-0.5827397834132391,-0.4731888022993944,-0.22681020816053957,-0.3179034939532363,-3.234254938002483e-4,0.17766099630767798,-0.2086608919644465,0.1155616559458618
7,6,C4,0.25440529525654226,0.4392908187972015,0.5035534126771715,0.02868976956787877,0.549379964687873,0.4058364883381121,0.4888938951370308,0.40621213331673267,4.550806769232359e-4,-0.12753447638047286,0.3665656052466643,-0.3284019504056026
7,6,C5,-0.46139432191833274,-0.11215706926601964,-0.09082740827316962,-0.3747732315046948,-0.42411705591335547,-0.5078449922811236,-0.13157672791753874,-0.43161133474901403,-2.6924798265047213e-4,0.12529673220058077,-0.21440546238488883,-0.06573820701200431
7,6,C6,-0.20631414263898062,-0.06911459853631217,0.05302691389488892,-0.27312875308665524,-0.218335132730603,-0.35989502702939624,-0.16734050189994956,-0.3996637843863368,-2.5833830769722625e-4,0.06617768350955969,-0.2534884780418923,-0.02816396034383674
7,6,C7,-0.5470930067982939,-0.5833884272599624,-0.7243796999279373,-0.3791993403046195,-0.7341898688668136,-0.49740956386368157,-0.5271127443096343,-0.37524390311222755,-6.751210661344012e-4,0.23949746283005596,-0.44194953128951353,0.4749166837321291
7,6,C8,-0.25027715509394677,-0.32772396027704404,-0.24452368781121703,-0.3132487117055796,-0.41385384404500675,-0.4282119836905075,-0.427741949335979,-0.47328676618635956,-5.316210009403397e-4,0.13005108595219236,-0.43987316192322684,0.2545947906337084
7,6,Enterobacteriaceae,-2.93814148712533e-4,-2.7211323504457705e-4,-3.775381203169083e-4,-2.5666097469553893e-4,-3.6422235600292786e-4,-2.0515803104427193e-4,-1.9479068773346734e-4,-9.132670641595523e-5,-3.1697753989406894e-7,1.2789126445860254e-4,-1.5499343863097526e-4,2.4810492402223614e-4
7,6,Muribaculaceae,0.04224301966766061,-0.020106692475243965,-0.023005668595938934,0.025644466388658794,0.010019663445201063,0.03157684920466526,-0.02217059328193086,0.023021449290345122,-1.2134202981878348e-5,-0.00453266845146244,-0.004776620789991556,0.039401878055086915
7,6,Paenibacillaceae,-0.23541955863460473,-0.3900096435010611,-0.4526684143249676,-0.19658540429707638,-0.40560404974258024,-0.2462603454128453,-0.3793813095854575,-0.2108857929332037,-4.5531382850992727e-4,0.1346267552286248,-0.3082615234149604,0.36715648615128776
7,6,Ruminococcaceae,0.17765373809111093,0.2309818828297846,0.411468889886079,0.04184494226703214,0.37379897356657954,0.13172183654116754,0.12623453119141304,-0.016138982526598657,1.54704069134491e-4,-0.08255173521145522,-2.3047251631459607e-4,-0.21699375551313826
8,7,C1,-0.050684403441630804,0.1726446612663345,0.29189566162884484,-0.02206304815020639,0.11813749657599593,-0.08907614835463591,0.11203460859358791,-0.14458859153577747,1.2347537089327546e-4,-0.020623417638122456,-0.0382202916511975,-0.19322814229214552
8,7,C2,-0.4784830080137096,-0.34896062316666643,-0.4679544372790464,-0.2874212216557411,-0.5110730730487268,-0.3678280438335468,-0.2693310083964373,-0.2372080335022036,-3.8292898944836725e-4,0.1794816592864774,-0.2670811689995362,0.27553536275047635
8,7,C3,-0.619066640541947,-0.3073566205486602,-0.44194787289691667,-0.31652413817324365,-0.5684884236239186,-0.4663878105410633,-0.20948608154428258,-0.29911193185451856,-3.278890679550362e-4,0.19709640912502474,-0.24976542135680155,0.17810748313227123
8,7,C4,0.11819654052106787,0.3367122291051106,0.3834687217126075,-0.04849050135331091,0.41009362340171307,0.2945996257801408,0.4047158791692447,0.3239294641904613,3.4407229443910917e-4,-0.07104878902494434,0.2541330734456133,-0.21358851065570383
8,7,C5,-0.5332002021607963,-0.15033823439849014,-0.14339081823252764,-0.42211770602530096,-0.445812555104533,-0.5073950352317216,-0.13096221200816568,-0.4014533305806571,-2.9152897870613804e-4,0.16052373557043625,-0.26738872385186496,0.037659375783182535
8,7,C6,-0.2778689619802577,-0.09895897305296655,-0.0027343621260686644,-0.3078331458871501,-0.24749340516604318,-0.36124573061916404,-0.15654460865877784,-0.36535209714189987,-2.6525204978371193e-4,0.09574851307834749,-0.27864066141912075,0.044604541921746635
8,7,C7,-0.582759946530176,-0.5439565845550784,-0.6738843059613656,-0.40853400592585537,-0.6967324800345198,-0.4859621704695159,-0.4660278469080488,-0.3477344441254275,-6.282059563821002e-4,0.24901912208155552,-0.4474900928951032,0.48390058786365336
8,7,C8,-0.3398345178866244,-0.32955732305410596,-0.2687422342968886,-0.360249860327435,-0.4294073170241952,-0.4325421508793874,-0.38257723280732453,-0.43424991980089755,-5.110947946441147e-4,0.1594553898760011,-0.4516823037875984,0.30285318793598587
8,7,Enterobacteriaceae,-7.493958975374279e-4,-4.3169864124317715e-4,-5.579496506268009e-4,-5.761511505908272e-4,-6.061782305986322e-4,-4.3739419002993045e-4,-2.2841742751389683e-4,-1.856799468810907e-4,-4.425871958751153e-7,3.1137806779634657e-4,-4.731332599130063e-4,5.503946980079638e-4
8,7,Muribaculaceae,0.027757318795982446,-0.020531818656135837,-0.023619616549801922,0.015934199468473704,0.0036166847497421314,0.022601857439888105,-0.019998761518081304,0.01787319780746082,-1.3286341005480485e-5,-4.905228092326352e-4,-0.009778307212174183,0.03936954130986515
8,7,Paenibacillaceae,-0.12055726651679094,-0.30213721907435764,-0.34869662369999566,-0.10805547423989247,-0.29800086749950255,-0.16789737515923975,-0.31321094120741333,-0.16058550787154882,-3.4878106181902044e-4,0.08505263209378962,-0.21849636124805416,0.25939243731337686
8,7,Ruminococcaceae,0.24947399397355535,0.23585033292059282,0.3980663765848261,0.10719528636918195,0.3780836689008497,0.16408787204229042,0.12086655835498836,0.00887850793536408,1.7478653224812002e-4,-0.10828040297185482,0.05944047453333737,-0.25160296468952703
9,8,C1,-0.1035450944426343,0.12041122054630386,0.22798987247472713,-0.05742378611206263,0.07073545593819566,-0.10564051073325914,0.09256072193805381,-0.13554762679261076,0.0010176871162029554,0.05164069655609476,-0.1153767879234268,-0.12892071346728584
9,8,C2,-0.4291269556595958,-0.3112200715888468,-0.41373377454292676,-0.2580919193886746,-0.45236486750613747,-0.3261518026182615,-0.23617552192971425,-0.2088759721577732,-4.8100118469408834e-5,0.17519489291065043,-0.2522735555906878,0.24809878632295249
9,8,C3,-0.6136141294768961,-0.30564018105164337,-0.4191842335302485,-0.3234291312044018,-0.5364785328970023,-0.4416933418541993,-0.18949497152046846,-0.272656100883764,8.031098722760424e-4,0.2564589432783671,-0.3180982510678549,0.20460045301206325
