time,window,target_i,C1,C2,C3,C4,C5,C6,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
4,2,C2,-0.004096708326769395,0.006593286535788492,-0.018889760173149733,0.00729880424988032,0.009149807962901527,0.0033523748487896492,-3.6827404793161354e-10,-0.004697422070205381,0.0021341845230625914
4,2,C3,0.02462245586079448,-0.049319628303152084,0.12939525273952776,-0.0541001018676549,-0.0683213020686231,-0.021642992409702317,6.865682820836914e-6,0.03649345269141879,-0.023562890040670158
4,2,C4,-0.004719500837005412,0.008295195979410941,-0.02286862964211709,0.009144380348686146,0.011466108560599937,0.003966001188661912,-5.194747237352955e-7,-0.006004050026436837,0.0032559022396826164
4,2,C5,0.013480575487096733,-0.0062584536006074585,0.037314176536526376,-0.007748438423067702,-0.009288564553527171,-0.008694397867650604,-1.1194359497114936e-5,0.00234168274657318,0.010326322742420924
4,2,C6,-0.00949649118072628,0.015137902575974704,-0.043635386679390716,0.01677109216872337,0.021093207837179627,0.007757400786445599,1.5637273113861794e-7,-0.010773222790258032,0.004734643737060599
4,2,Enterobacteriaceae,-8.856493318524177e-6,1.6332709109045363e-5,-4.465023099065503e-5,1.8001792135556834e-5,2.3039177783863112e-5,7.609920084792403e-6,-1.8039069340006055e-9,-1.1498566916806164e-5,7.0586772354216695e-6
4,2,Lactobacillaceae,-0.0017901864779565123,0.0027741274880734553,-0.007441005286478867,0.003032951569328182,0.003230126297625604,0.0013830807946780643,-5.045573885700718e-7,-0.0022269635050167426,0.0015249779068293736
4,2,Paenibacillaceae,0.010090035465388383,-0.018115811193348284,0.049684880014897674,-0.019964095252419062,-0.025202674674169222,-0.008555177402238684,1.9549130840754217e-6,0.012849865032627486,-0.007826151795902415
5,3,C1,0.14468236114488844,-0.091965054331347107,0.26628212060649004,-0.10246754879630819,0.0424225112885337,-0.07947897005636918,-5.2205432494993024e-5,0.056275087528935314,0.04027095410543221
5,3,C2,9.801595965181834e-4,0.005999148408402556,-0.023661890802232802,0.007350143289057455,0.02355632811603175,0.0019825916902960574,-2.8398387010886077e-6,-0.002254048223259245,0.005724749145515375
5,3,C3,-0.009334737781199946,-0.02239993486669223,0.06463911305371142,-0.025074928108588548,-0.07697384623164454,-0.0028392521032265224,1.594133052859715e-5,0.016045868320666047,-0.027727866314391444
5,3,C4,0.025168629505299554,-0.0036610591901668965,-5.265976179581047e-4,-0.002894632451327324,0.05017053362125618,-0.009190886562999127,-1.3749841947968297e-5,0.004699388098475254,0.017193879237164072
5,3,C5,0.265098485436282,-0.14735043698792058,0.4345026498789242,-0.16486081003979194,0.1259787898747203,-0.14047767300403036,-1.0558498018069168e-4,0.08604285979976198,0.09305315547001182
5,3,C6,-0.05138773037168294,0.03569795116022899,-0.10352203179870975,0.03980802360842009,-0.006949672087753417,0.029101355210095638,1.7212387681648097e-05,-0.02203595488870492,-0.011629335580045924
5,3,Enterobacteriaceae,-6.103612585798699e-5,4.330805877914786e-5,-1.2487131092670626e-4,4.86090563553867e-5,-7.006928203389374e-6,3.476476785407462e-5,1.9325870386264847e-8,-2.5823815855388273e-5,-1.2649188882258232e-5
5,3,Lactobacillaceae,0.015131047959115344,-0.008572444749000412,0.02637212371547941,-0.009957350529727096,0.006048305371364676,-0.008190191358550227,-6.0932166295359106e-06,0.003952855418055841,0.005544716992055419
5,3,Paenibacillaceae,0.07818887463333901,-0.05373520027155282,0.1549222447108545,-0.06023941652374785,0.013452764348786948,-0.04403994975572008,-2.544335197854166e-5,0.03211441802438556,0.017539830144825814
6,4,C1,0.11942245828034202,-0.07642031812008677,0.21288708752149213,-0.08694611445541808,0.044621812338144516,-0.06502614672691175,-4.5097059186415153e-5,0.04659427072339644,0.036262978685147836
6,4,C2,0.19977674994430314,-0.01977818819277828,0.12669429441210436,0.027996233569278176,0.21124739536149706,-0.08284164871427015,-5.226441221239676e-5,0.03471334792480065,0.0551135313198264
6,4,C3,-0.21256986935069244,0.0037831395104052533,-0.09668295178615492,-0.05032643017267222,-0.2560620744206688,0.08441003525162323,6.147617166961393e-5,-0.0239370733483317,-0.07097056854275852
6,4,C4,0.3710745618004374,-0.04975946522141969,0.2589287904806633,0.0301790302802702,0.38135497826122994,-0.15663283324300015,-1.0100639617556397e-4,0.06948523476531004,0.10481147618531177
6,4,C5,0.1816430227112838,-0.11813713550145306,0.32189051004288366,-0.14352262681096967,0.08098831543229024,-0.09936557233601151,-7.987601258312254e-5,0.06527728546434215,0.07050086568765515
6,4,C6,-0.02008958894507207,0.025176548747145856,-0.06466609158513557,0.033198601955923494,0.012334076340149758,0.014093854392875896,8.682129817536043e-6,-0.013423093606922601,-0.0044668154611894025
6,4,Enterobacteriaceae,1.200991377723032e-5,1.850114325120863e-5,-4.490152790751095e-5,3.0449137803911273e-5,5.2668975187597555e-5,7.491612395752313e-7,-3.2184413407612742e-9,-6.2472587620532144e-6,8.382391071591836e-6
6,4,Lactobacillaceae,-0.0638026581567781,0.004338131783517866,-0.036289085542505324,-0.013029216097397746,-0.0689762934852587,0.025903205561303187,1.5137984160608715e-5,-0.011377646514518837,-0.015810608367696693
6,4,Paenibacillaceae,-0.009218809178072378,-0.02932211579242357,0.06408138307374539,-0.0479902049967465,-0.056276204038203,-0.003920561619496217,-8.065663750899546e-7,0.01066699464356184,-0.005307169682231148
7,5,C1,0.014888640814650855,-0.075901705247584,0.1417959698279538,-0.11700644870442208,-0.027442897842574768,-0.015323803708092689,1.2159728096693531e-4,0.01219248143016859,-0.014644403236203916
7,5,C2,0.16600677365351715,-0.014539171189595045,0.1038195386180043,0.026634673858889898,0.17415905655645314,-0.06878782801219434,-4.408966645380008e-5,0.028394340173188624,0.04511171629258786
7,5,C3,-0.2812406566181673,-0.01797129861466541,-0.11646455535703171,-0.10739730951097488,-0.2926866056368968,0.11752320533880294,2.497232428608668e-4,-0.05141920533897602,-0.11290152334966148
7,5,C4,0.2276807489100757,-0.05248199752685986,0.1839372831498523,-0.015695516513177667,0.2515596843167665,-0.09314050619621356,7.831232989419657e-5,0.03106115578725773,0.04084162089595833
7,5,C5,0.036075536743917815,-0.11444703772524367,0.21854328904460296,-0.1791921347661767,-0.021026484142834954,-0.02997525903950513,1.4331474615050137e-4,0.019053956931655604,-0.0013415404226060912
7,5,C6,-0.018559668502829335,0.019540832111678615,-0.05234292015966459,0.024859041317329758,0.007799585387658129,0.012381151443787028,1.1906246110738052e-5,-0.011473916099842035,-0.0049362169676638494
7,5,Enterobacteriaceae,-0.0011730149859891371,-2.0868806992770466e-4,-4.426797344538035e-4,-6.823010631174275e-4,-8.867220047912282e-4,5.380081645538277e-4,2.289444137818352e-6,-3.6816718458848553e-4,-6.278805552074353e-4
7,5,Lactobacillaceae,0.06250706593969815,0.02518914735088081,0.011422051943452373,0.05958858028824482,0.035810769973131526,-0.02949761708518692,-1.678861704478125e-4,0.020722287023886985,0.039130484751696615
7,5,Paenibacillaceae,0.21395189115581753,0.019172022970809808,0.13041052760642782,0.09927592848745966,0.13318847588073957,-0.10042064734732621,-3.352145741233143e-4,0.06452505796999507,0.09293305595325649
8,6,C1,-0.0328956651557288,-0.0732054096488032,0.11079602757397895,-0.11573373773434055,-0.04995566263720554,0.014475728861723318,0.001499937264423676,-0.05065952726648968,-0.06736730306818813
8,6,C2,0.16094884576846272,-0.00697874522608026,0.08992912671214066,0.031635636574667114,0.15858795634084247,-0.07091681417014771,-6.942077982366689e-4,0.05300701537205461,0.0652607285157987
8,6,C3,-0.30462176854327494,-0.030909179684214316,-0.10762143938152956,-0.11830856997537285,-0.2856923830953362,0.14032821615527633,0.0024160381857295083,-0.1384767071830346,-0.18050122693429235
8,6,C4,0.16857208042565983,-0.048115450912663636,0.14945704896409065,-0.021515559909024064,0.1965071120347451,-0.06510569533057717,6.51806880132074e-4,-4.2979864932572937e-4,0.009182302305319962
8,6,C5,-0.022872127421595754,-0.10693251612393939,0.17339237663095355,-0.17048041418883392,-0.049159196542252856,0.006869767580571577,0.0017612768269400477,-0.05539233607081199,-0.0656164018813877
8,6,C6,-0.013258707961605462,0.016702110006369654,-0.04312065290341276,0.021534913724816248,0.007782513484173027,0.008997219623941625,-4.975826370286536e-5,-0.0068311373640199576,-0.001515562105914949
8,6,Enterobacteriaceae,-0.010738088277792728,-0.0022944999660566897,-0.001993916102769763,-0.004609269128832571,-0.006671955091085808,0.006249568970351152,2.5738466570562554e-4,-0.012113697456640076,-0.012133790815862104
8,6,Lactobacillaceae,0.30518597544453074,0.07573495390532543,0.05202907768808074,0.15446768608508696,0.18392790343078,-0.17482959355997194,-0.0066347694320162106,0.31979067879230105,0.33287707872493294
8,6,Paenibacillaceae,0.21168426038507035,0.02307660462700071,0.11435840456977911,0.09663976736752426,0.1315136590509829,-0.10340003585618734,-0.0010176662865432626,0.09046303006515795,0.11664333051737048
9,7,C1,-0.06283130487470305,-0.07251826175922249,0.09809014405233465,-0.11033913929084146,-0.05702051282269266,0.03853657575132883,0.0036444247481279266,-0.12149941671529059,-0.10933739180936115
9,7,C2,0.13979900668148781,-0.005360676743107626,0.07628818618412264,0.027664552697195244,0.13618601256708635,-0.06252440495601151,-7.549820622613411e-4,0.0500905940961123,0.05935041989472483
9,7,C3,-0.3154053874747227,-0.0421288052683584,-0.08655634366771411,-0.11913179792844046,-0.26679942774244836,0.1615003878899745,0.005809691096995903,-0.24210380701775525,-0.23634956472333574
9,7,C4,0.13066937205027473,-0.04499361140320745,0.12911115222589936,-0.02281137905653762,0.16248467324562715,-0.045507420788546804,0.0014747686193230666,-0.030714276623205816,-0.012243898165333734
9,7,C5,-0.06433510933791314,-0.10425081209589918,0.15227716027799507,-0.1605334427359627,-0.06074128318796737,0.039432740522507885,0.004543458982130577,-0.1483524475478495,-0.12262775353127188
9,7,C6,-0.01131212728799747,0.014275575071666996,-0.03719003215187137,0.018341656882313824,0.0064104625622908315,0.007475598184199104,-5.4436100606232795e-5,-0.005896936327078019,-0.0010254612904026256
9,7,Enterobacteriaceae,-0.008962230801352694,-0.00189972468442548,-0.0017405178063687476,-0.0038726128856851182,-0.005625232646177722,0.005170104166106401,2.0456357965662194e-4,-0.009867491940918486,-0.010034833030706219
9,7,Lactobacillaceae,0.2034724745109179,0.04832564449152887,0.050128766448278794,0.11325474144327717,0.13364359134449724,-0.10611024307163791,-0.0017576849735148167,0.14396851882018216,0.19886692209591642
9,7,Paenibacillaceae,0.17171956724985588,0.017089970193488395,0.09903617367571016,0.07967292455281341,0.10889216549756128,-0.08121205393578872,-2.2435008310112597e-4,0.056537535150074515,0.08557995130335089
10,8,C1,-0.07562102645636756,-0.0718456579698623,0.09396441134714045,-0.10147255120500723,-0.05574722934760056,0.05082829623818654,0.004742988757983897,-0.1490966110414541,-0.12884459825878772
10,8,C2,0.14822692603847695,0.005904087060205224,0.05629169360710456,0.03062781530871912,0.1264066388096393,-0.07625896168459376,-0.002618379023532882,0.09796622021764062,0.09376814613756729
10,8,C3,-0.3152367000923162,-0.05292074495465151,-0.05988056981136881,-0.1138831173917299,-0.2443990370717882,0.17400453387255277,0.0080571848444085,-0.29397935705382167,-0.2702720629585925
10,8,C4,0.10375461851927692,-0.04372621746267615,0.11708813084453598,-0.0224216785173688,0.13892859322049186,-0.031199483953292164,0.0020744278589822406,-0.04816567971177083,-0.027435899069276404
10,8,C5,-0.06670577693237653,-0.09544645141904287,0.13726705375203854,-0.14277176174691777,-0.05608309577942552,0.04312894749934166,0.00476252498688028,-0.15130196768460294,-0.12405132203899912
10,8,C6,0.004513772115665825,0.017985969660578045,-0.037868348632239875,0.01967943387039345,0.009678327353974206,-0.005469894025469306,-0.001115491364308736,0.02499916509567897,0.02208811589324862
10,8,Enterobacteriaceae,-0.008236301496469778,-0.0018346346821862076,-0.0013463724775508205,-0.0034798660287435573,-0.005028880406182728,0.004853432672568482,2.094978547931283e-4,-0.009456609899658713,-0.009421294456304562
10,8,Lactobacillaceae,0.1343179192030974,0.024510146424877574,0.061040514579531024,0.0882191749259745,0.10430690673452082,-0.056728179895013046,0.0017241373321225386,0.035745203388520025,0.10397325236973812
10,8,Paenibacillaceae,0.142518237084306,0.011735634666673671,0.08957625710650616,0.06779114259030435,0.09293270282212882,-0.0647869764609429,3.718342920259082e-4,0.034003936951897185,0.06266498584365783
11,9,C1,-0.08952431227233539,-0.07799774416679764,0.09910803075115758,-0.0922065012488358,-0.054133147780444583,0.06686033543410681,0.007794862666449456,-0.16837786122686269,-0.15968089660392398
11,9,C2,0.13874612666869623,0.009591777217079505,0.045363758347631046,0.02816277583146145,0.11395197761827427,-0.0741648140928762,-0.0031964349665747106,0.09961346654680002,0.09642354649028353
11,9,C3,-0.3090989004731836,-0.06545644298648991,-0.03285912500212195,-0.10403708889573902,-0.22315697448909239,0.18261190434325236,0.01168877986409449,-0.3086574971117707,-0.29842560172583704
11,9,C4,0.07284989823027918,-0.051094942539124555,0.11754395487881568,-0.021655412200249562,0.11939587446409941,-0.00887489808787808,0.004998535741492019,-0.07340201160652086,-0.06365560337896387
11,9,C5,-0.08328969486504945,-0.10000793985519342,0.13869324361735352,-0.1290515855450208,-0.054803363048093225,0.0616112493930136,0.008056166211996767,-0.17312430056046266,-0.15869750500171323
11,9,C6,-0.007899344553084832,0.008414697729626615,-0.025328226067525883,0.016278278214779056,0.006069576435471206,0.006607088581468725,8.618862745570174e-4,0.0028479609005073792,-0.004208667418581499
11,9,Enterobacteriaceae,-0.019571210474871013,-0.009321351373963973,0.007152677313715891,-0.004445432523347896,-0.007177674999606013,0.015889560004117124,0.0019659148271855844,-0.02881618234820577,-0.03227176832768363
