time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Enterobacteriaceae,Paenibacillaceae,Ruminococcaceae
8,7,C14,-0.2567695278499979,-0.15051511286104421,-0.23706642134819866,-0.19420006463646064,-0.10253836210983498,0.053744826827556956,-0.033224951869305554,-0.048404406762953975,-0.07717465393381889,-0.07609765910798315,-0.04849049143117259,-0.12248886046347951,-0.0014082230968395569,-0.1172726163067199,-1.6206897895870291e-6,-0.003209843129647229,-0.24070312996803375
8,7,Enterobacteriaceae,-5.425024111771803e-4,-2.8396832088645153e-4,-5.305545529417225e-4,-2.7700338180828166e-4,-1.5399817513377375e-4,1.3612200462082623e-4,-3.82845443122007e-5,-4.338571685753918e-5,-1.402152754854976e-4,-7.878920356549896e-6,-5.8238725555945864e-5,-1.214789886723637e-4,-7.891052732957831e-5,-1.6590146617827912e-4,2.8478050340609128e-8,-9.593972958446709e-5,-5.443841965567971e-4
8,7,Paenibacillaceae,0.23039570671504359,0.18010435605091882,0.18490333079048235,0.12579730874328607,0.07055525935545082,-0.04208586685781154,0.056230069687740185,0.05158166758984809,0.09473656809710147,-0.014929583458652185,0.04940453294090133,0.023414121460914605,0.003227948878508289,0.1225441945727303,2.9713655533657394e-5,-0.031657570004000955,0.1865235756267582
8,7,Ruminococcaceae,0.08910264557527033,0.21236856814439506,-0.055149112598093644,-0.04606673612947734,0.008199457516667823,0.01467485865834093,0.06955944560175051,0.09671831947530006,0.16651976525265574,-0.15414002476275535,0.0390856001734684,-0.14583866146642502,-0.11198812256538385,0.06530807124507532,1.9162820311299618e-5,-0.036143641733907286,-0.00841349898187368
9,8,C1,-0.09010708555238492,0.05903397577196342,-0.2096543071633089,-0.07796066864421133,-0.020922263226639957,0.05011817045065612,0.051255855230095244,0.07093321303845394,0.02701314757352347,-0.0654499763126676,0.054800264354992245,-0.13412577384359964,-0.10855723103660926,0.04256712024710674,0.0028783742113376557,-0.08605196594493271,-0.1297526844733414
9,8,C2,-0.3229271918763638,-0.14756926426754338,-0.3504084615068523,-0.26865367467680806,-0.10242223606637295,0.08303744504719943,-7.786283937221675e-4,0.008149724705615976,-0.15382615407908085,-0.08785241641510753,-8.775386667932229e-4,-0.2535405467730551,-0.01080388634812851,-0.06197592449184173,0.0035487324265816643,-0.10097707596502963,-0.35389832962203327
9,8,C3,0.13380054243149603,0.2094056794427097,-0.03477612355259358,0.15446846816967263,0.07558022296922674,0.012432325163903319,0.08120869095800551,0.11541629129020131,0.17096280562077626,0.03333328831880705,0.10823847942518114,0.06415234985774404,-0.1867836328120818,0.1296776605485452,0.002848302683413969,-0.06126863531502884,0.11399513439725509
9,8,C4,-0.11393774466039666,0.08811002802240649,-0.2537128326061328,-0.1324354090642925,-0.0471851852720782,0.06752316130627425,0.04764249347213925,0.07162672131907562,0.125796257585912,-0.1390697019453152,0.03885082857198691,-0.15731077430875454,-0.15993488518342144,-0.021702312399381484,0.002936110915390012,-0.0672769317117463,-0.16230099382538699
9,8,C5,-0.07507313506745845,0.02587876878751344,-0.13719765045730697,-0.04123579714943114,-0.018438797816910293,0.03987153274317664,0.03919479407261043,0.03470738622736181,0.02668782475985688,-0.03698524903959635,0.04573914016856337,-0.06507372779012947,-0.06571491598999846,0.018925942334904675,0.0030887832802772492,-0.0899300144020751,-0.09788564968468728
9,8,C6,-0.09270064997995453,-0.06275893351997512,-0.06950739082067571,-0.05596870973108724,-0.023541561057595313,0.024599363951838645,-0.003149805099561245,-0.010194757691015835,-0.04417387404734296,0.0012685755876777403,0.00662508005972978,-0.03144612813758153,0.014247320761805102,-0.03028322131459033,0.0023174695621365044,-0.05248028754935315,-0.09550565256450563
