color,hex
radioactive green,#2cfa1f
light pea green,#c4fe82
cinnamon,#ac4f06
squash,#f2ab15
charcoal grey,#3c4142
bright yellow green,#9dff00
baby puke green,#b6c406
poison green,#40fd14
light lavendar,#efc0fe
indian red,#850e04
dark cream,#fff39a
toupe,#c7ac7d
butterscotch,#fdb147
burple,#6832e3
tan green,#a9be70
sun yellow,#ffdf22
pale gold,#fdde6c
light light green,#c8ffb0
lichen,#8fb67b
green/yellow,#b5ce08
darkgreen,#054907
azul,#1d5dec
sunny yellow,#fff917
sickly yellow,#d0e429
kelley green,#009337
bruise,#7e4071
browny green,#6f6c0a
battleship grey,#6b7c85
off blue,#5684ae
manilla,#fffa86
greenish beige,#c9d179
deep brown,#410200
darkish pink,#da467d
custard,#fffd78
ugly brown,#7d7103
stormy blue,#507b9c
liliac,#c48efd
baby shit brown,#ad900d
reddish grey,#997570
powder pink,#ffb2d0
eggplant purple,#430541
egg shell,#fffcc4
very light brown,#d3b683
tea green,#bdf8a3
orange pink,#ff6f52
light grey green,#b7e1a1
kiwi green,#8ee53f
boring green,#63b365
light pastel green,#b2fba5
candy pink,#ff63e9
purply,#983fb2
purpley grey,#947e94
dusty lavender,#ac86a8
desert,#ccad60
deep lilac,#966ebd
pig pink,#e78ea5
olive yellow,#c2b709
light seafoam green,#a7ffb5
light moss green,#a6c875
lavender pink,#dd85d7
deep aqua,#08787f
bland,#afa88b
strong pink,#ff0789
green teal,#0cb577
deep turquoise,#017374
dark green blue,#1f6357
bright sea green,#05ffa6
booger,#9bb53c
blue with a hint of purple,#533cc6
blue blue,#2242c7
windows blue,#3778bf
toxic green,#61de2a
strong blue,#0c06f7
dark green,#033500
spruce,#0a5f38
pinkish tan,#d99b82
grey teal,#5e9b8a
dusty teal,#4c9085
dark grass green,#388004
cement,#a5a391
yellowish tan,#fcfc81
warm purple,#952e8f
tea,#65ab7c
really light blue,#d4ffff
nasty green,#70b23f
light eggplant,#894585
fresh green,#69d84f
electric lime,#a8ff04
dust,#b2996e
dark pastel green,#56ae57
cloudy blue,#acc2d9
unnamed,#D1D8D8
unnamed,#CD5909
unnamed,#6A5D1B
unnamed,#78A39C
unnamed,#C9C5B0
unnamed,#234435
unnamed,#EE1289
unnamed,#5A4D60
unnamed,#A55AF4
unnamed,#4E5D4E
unnamed,#D3CBBA
unnamed,#A2B4BA
unnamed,#BB5F34
unnamed,#C9A0DC
unnamed,#4A4E5A
unnamed,#84216B
unnamed,#413A5D
unnamed,#4A85A8
unnamed,#251706
unnamed,#681E5B
unnamed,#8B864E
unnamed,#6D1C27
unnamed,#FFD865
unnamed,#755148
unnamed,#5C2C30
unnamed,#3C4543
unnamed,#F1A7FE
unnamed,#B0A994
unnamed,#F5F5F5
unnamed,#312A29
unnamed,#1E385B
unnamed,#E6E8FA
unnamed,#CEE007
unnamed,#FDC1C5
unnamed,#FFC2C9
unnamed,#E0DED1
unnamed,#8B65FF
unnamed,#3CB371
unnamed,#D865FF
unnamed,#1D0200
unnamed,#0C1911
unnamed,#8BA58F
unnamed,#CD8162
unnamed,#00777B
unnamed,#022D15
unnamed,#FD7B33
unnamed,#123447
unnamed,#A8854A
unnamed,#16489B
unnamed,#126180
unnamed,#FEBAAD
unnamed,#008789
unnamed,#D81C3F
unnamed,#E6DFE7
unnamed,#009E0F
unnamed,#736330
unnamed,#AA783D
unnamed,#44583B
unnamed,#000B59
unnamed,#F2D6D8
unnamed,#D6D3D6
unnamed,#FF9EC2
unnamed,#6D9A78
unnamed,#7B7C94
unnamed,#980002
unnamed,#9CBB04
unnamed,#997A8D
unnamed,#D4CDC2
unnamed,#E8F1D4
unnamed,#9470C4
unnamed,#4AA8A8
unnamed,#203F58
unnamed,#5F422D
unnamed,#272759
unnamed,#CFA39D
unnamed,#605A67
unnamed,#E7DADA
unnamed,#858477
unnamed,#93A800
unnamed,#AF6E4D
unnamed,#CDBA96
unnamed,#DBB40C
unnamed,#E4E4DF
unnamed,#FAEBD7
unnamed,#751973
unnamed,#BDB0A3
unnamed,#4A708B
unnamed,#9D9CB7
unnamed,#97CD2D
unnamed,#D2D2C0
unnamed,#DCF0EA
unnamed,#4E5541
unnamed,#FE5A1D
unnamed,#C85241
unnamed,#F8BF00
unnamed,#FFC1CC
unnamed,#282A2C
unnamed,#6D9BC3
unnamed,#AEBBC1
unnamed,#E96E00
unnamed,#D6DDD6
unnamed,#E9FFE2
unnamed,#CC00FF
unnamed,#7FC6B2
unnamed,#FFDDCD
unnamed,#DDD6E1
unnamed,#08787F
unnamed,#D1C2FF
unnamed,#B3EE3A
unnamed,#6D332A
unnamed,#9B301C
unnamed,#3F5D53
unnamed,#E19246
unnamed,#C9B93B
unnamed,#A99A86
unnamed,#003AE7
unnamed,#FE4B03
unnamed,#003E40
unnamed,#FF355E
unnamed,#68228B
unnamed,#FFCD73
unnamed,#CCCCCC
unnamed,#554D4F
unnamed,#D19FE8
unnamed,#D2DB32
unnamed,#009E60
unnamed,#380059
unnamed,#7851A9
unnamed,#EDD2A4
unnamed,#C48EFD
unnamed,#5A6E9C
unnamed,#008B8B
unnamed,#D6D8D3
unnamed,#A84A4A
unnamed,#F2E5BF
unnamed,#988B80
unnamed,#F99EA3
unnamed,#95A3A6
unnamed,#024930
unnamed,#E9967A
unnamed,#FBEB50
unnamed,#F8DD5C
unnamed,#966FD6
unnamed,#C6723B
unnamed,#D0B8E7
unnamed,#8A8389
unnamed,#F9E814
unnamed,#FFE303
unnamed,#CB9D06
unnamed,#CDFD02
unnamed,#7DA8A8
unnamed,#9E9E07
unnamed,#CDC6C5
unnamed,#FEF9E3
unnamed,#D2E09E
unnamed,#BA8C66
unnamed,#A4B88F
unnamed,#674C47
unnamed,#CDB5CD
unnamed,#A00054
unnamed,#F4F0EC
unnamed,#3232CD
unnamed,#2D2759
unnamed,#380835
unnamed,#CB410B
unnamed,#492615
unnamed,#EEB422
unnamed,#F3DAA9
unnamed,#362A4D
unnamed,#26283B
unnamed,#4E6590
unnamed,#7B8265
unnamed,#E9B7A9
unnamed,#FFDCD6
unnamed,#CA6C00
unnamed,#944747
unnamed,#FFF5E1
unnamed,#4B5D16
