Time,Family,Abundance,Abundance.family,Sample
5,Tannerellaceae,0,0,m5
5,UCG-010,0,0,m5
5,[Eubacterium] coprostanoligenes group,0,0,m5
6,Acholeplasmataceae,9,1.5e-4,m5
6,Akkermansiaceae,0,0,m5
6,Anaerovoracaceae,0,0,m5
6,Atopobiaceae,0,0,m5
6,Bacillaceae,0,0,m5
6,Bacteroidaceae,0,0,m5
6,Beijerinckiaceae,0,0,m5
6,Bifidobacteriaceae,0,0,m5
6,Butyricicoccaceae,0,0,m5
6,Chitinophagaceae,0,0,m5
6,Christensenellaceae,0,0,m5
6,Clostridiaceae,0,0,m5
6,Comamonadaceae,0,0,m5
6,Corynebacteriaceae,0,0,m5
6,Deferribacteraceae,0,0,m5
6,Desulfovibrionaceae,0,0,m5
6,Eggerthellaceae,0,0,m5
6,Enterobacteriaceae,59497,0.9916166666666667,m5
6,Enterococcaceae,0,0,m5
6,Erysipelotrichaceae,0,0,m5
6,Lachnospiraceae,0,0,m5
6,Lactobacillaceae,487,0.008116666666666666,m5
6,Marinifilaceae,0,0,m5
6,Microbacteriaceae,0,0,m5
6,Monoglobaceae,0,0,m5
6,Muribaculaceae,0,0,m5
6,Oscillospiraceae,0,0,m5
6,Paenibacillaceae,0,0,m5
6,Peptococcaceae,0,0,m5
6,Peptostreptococcaceae,0,0,m5
6,Prevotellaceae,0,0,m5
6,Propionibacteriaceae,0,0,m5
6,Rhizobiaceae,0,0,m5
6,Rikenellaceae,0,0,m5
6,Ruminiclostridium,0,0,m5
6,Ruminococcaceae,0,0,m5
6,Saccharimonadaceae,0,0,m5
6,Sutterellaceae,7,1.1666666666666667e-4,m5
6,Tannerellaceae,0,0,m5
6,UCG-010,0,0,m5
6,[Eubacterium] coprostanoligenes group,0,0,m5
7,Acholeplasmataceae,10,1.6666666666666666e-4,m5
7,Akkermansiaceae,0,0,m5
7,Anaerovoracaceae,0,0,m5
7,Atopobiaceae,0,0,m5
7,Bacillaceae,0,0,m5
7,Bacteroidaceae,0,0,m5
7,Beijerinckiaceae,12,2e-4,m5
7,Bifidobacteriaceae,0,0,m5
7,Butyricicoccaceae,0,0,m5
7,Chitinophagaceae,18,3e-4,m5
7,Christensenellaceae,0,0,m5
7,Clostridiaceae,0,0,m5
7,Comamonadaceae,24,4e-4,m5
7,Corynebacteriaceae,0,0,m5
7,Deferribacteraceae,0,0,m5
7,Desulfovibrionaceae,0,0,m5
7,Eggerthellaceae,0,0,m5
7,Enterobacteriaceae,59044,0.9840666666666666,m5
7,Enterococcaceae,0,0,m5
7,Erysipelotrichaceae,0,0,m5
7,Lachnospiraceae,10,1.6666666666666666e-4,m5
7,Lactobacillaceae,863,0.014383333333333333,m5
7,Marinifilaceae,0,0,m5
7,Microbacteriaceae,2,3.3333333333333335e-5,m5
7,Monoglobaceae,0,0,m5
7,Muribaculaceae,0,0,m5
7,Oscillospiraceae,0,0,m5
7,Paenibacillaceae,2,3.3333333333333335e-5,m5
7,Peptococcaceae,0,0,m5
7,Peptostreptococcaceae,0,0,m5
7,Prevotellaceae,0,0,m5
7,Propionibacteriaceae,0,0,m5
7,Rhizobiaceae,6,1e-4,m5
7,Rikenellaceae,0,0,m5
7,Ruminiclostridium,0,0,m5
7,Ruminococcaceae,0,0,m5
7,Saccharimonadaceae,0,0,m5
7,Sutterellaceae,9,1.5e-4,m5
7,Tannerellaceae,0,0,m5
7,UCG-010,0,0,m5
7,[Eubacterium] coprostanoligenes group,0,0,m5
8,Acholeplasmataceae,5,8.333333333333333e-5,m5
8,Akkermansiaceae,2,3.3333333333333335e-5,m5
8,Anaerovoracaceae,0,0,m5
8,Atopobiaceae,0,0,m5
8,Bacillaceae,0,0,m5
8,Bacteroidaceae,0,0,m5
8,Beijerinckiaceae,57,9.5e-4,m5
8,Bifidobacteriaceae,0,0,m5
8,Butyricicoccaceae,0,0,m5
8,Chitinophagaceae,47,7.833333333333334e-4,m5
8,Christensenellaceae,0,0,m5
8,Clostridiaceae,0,0,m5
8,Comamonadaceae,55,9.166666666666666e-4,m5
8,Corynebacteriaceae,0,0,m5
8,Deferribacteraceae,0,0,m5
8,Desulfovibrionaceae,0,0,m5
8,Eggerthellaceae,0,0,m5
8,Enterobacteriaceae,45845,0.7640833333333333,m5
8,Enterococcaceae,3,5e-5,m5
8,Erysipelotrichaceae,0,0,m5
8,Lachnospiraceae,0,0,m5
8,Lactobacillaceae,13928,0.23213333333333333,m5
8,Marinifilaceae,0,0,m5
8,Microbacteriaceae,26,4.333333333333333e-4,m5
8,Monoglobaceae,0,0,m5
8,Muribaculaceae,0,0,m5
8,Oscillospiraceae,0,0,m5
8,Paenibacillaceae,9,1.5e-4,m5
8,Peptococcaceae,0,0,m5
8,Peptostreptococcaceae,0,0,m5
8,Prevotellaceae,0,0,m5
8,Propionibacteriaceae,0,0,m5
8,Rhizobiaceae,23,3.8333333333333334e-4,m5
8,Rikenellaceae,0,0,m5
8,Ruminiclostridium,0,0,m5
8,Ruminococcaceae,0,0,m5
8,Saccharimonadaceae,0,0,m5
8,Sutterellaceae,0,0,m5
8,Tannerellaceae,0,0,m5
8,UCG-010,0,0,m5
8,[Eubacterium] coprostanoligenes group,0,0,m5
9,Acholeplasmataceae,0,0,m5
9,Akkermansiaceae,0,0,m5
9,Anaerovoracaceae,0,0,m5
9,Atopobiaceae,0,0,m5
9,Bacillaceae,0,0,m5
9,Bacteroidaceae,0,0,m5
9,Beijerinckiaceae,0,0,m5
9,Bifidobacteriaceae,0,0,m5
9,Butyricicoccaceae,0,0,m5
9,Chitinophagaceae,0,0,m5
9,Christensenellaceae,0,0,m5
9,Clostridiaceae,0,0,m5
9,Comamonadaceae,0,0,m5
9,Corynebacteriaceae,0,0,m5
9,Deferribacteraceae,0,0,m5
9,Desulfovibrionaceae,0,0,m5
9,Eggerthellaceae,0,0,m5
9,Enterobacteriaceae,46150,0.7691666666666667,m5
9,Enterococcaceae,0,0,m5
9,Erysipelotrichaceae,0,0,m5
9,Lachnospiraceae,0,0,m5
9,Lactobacillaceae,13762,0.22936666666666666,m5
9,Marinifilaceae,0,0,m5
9,Microbacteriaceae,0,0,m5
9,Monoglobaceae,0,0,m5
9,Muribaculaceae,0,0,m5
9,Oscillospiraceae,0,0,m5
9,Paenibacillaceae,86,0.0014333333333333333,m5
9,Peptococcaceae,0,0,m5
9,Peptostreptococcaceae,0,0,m5
9,Prevotellaceae,0,0,m5
9,Propionibacteriaceae,0,0,m5
9,Rhizobiaceae,0,0,m5
9,Rikenellaceae,0,0,m5
9,Ruminiclostridium,0,0,m5
9,Ruminococcaceae,0,0,m5
9,Saccharimonadaceae,0,0,m5
9,Sutterellaceae,2,3.3333333333333335e-5,m5
9,Tannerellaceae,0,0,m5
9,UCG-010,0,0,m5
9,[Eubacterium] coprostanoligenes group,0,0,m5
10,Acholeplasmataceae,0,0,m5
10,Akkermansiaceae,0,0,m5
10,Anaerovoracaceae,0,0,m5
10,Atopobiaceae,0,0,m5
10,Bacillaceae,0,0,m5
10,Bacteroidaceae,0,0,m5
10,Beijerinckiaceae,0,0,m5
10,Bifidobacteriaceae,0,0,m5
10,Butyricicoccaceae,0,0,m5
10,Chitinophagaceae,0,0,m5
10,Christensenellaceae,0,0,m5
10,Clostridiaceae,0,0,m5
10,Comamonadaceae,0,0,m5
